id,flood_id,country,event_location,event_date,language_detected,url,domain,page_title,text_snippet,pipeline_prediction,flood_term_hits,impact_term_hits,location_term_hits,word_count,label,notes
1,169,Panama,"Cristóbal Town (Colón Province, central Panama), Las Garzas de Pacora locality (eastern Panama); Panamá Oeste, Chiriquí",2021-06-12,spa,https://www.cruzroja.org.pa/post/uniendo-esfuerzos-para-salir-adelante,cruzroja.org.pa,Uniendo esfuerzos para salir adelante.,"Actualizado: 27 de abr de 2020
A través de la Cruz Roja Panameña, y en apoyo al Ministerio de Salud de Panama, Procter & Gamble (P&G Panama) puso a disposición sus productos de higiene, que son de primera necesidad para personal médico e internistas que se mantienen por extensas horas de trabajo en los centros de asistencia de salud, y, en algunos casos, sin la posibilidad de retornar a sus hogares, durante la respuesta a esta emergencia que supone la alerta sanitaria por el COVID-19.
En esta oc",pipeline_no,1,2,1,316,0,
2,82,Mexico,La Martinica (Jalisco State),2025-07-15,spa,https://unomasuno.com.mx/edomex/recesion-economica-en-puerta/,unomasuno.com.mx,"Recesión económica, ¡en puerta!","Por Karina A. Rocha Priego
Definitivamente, ¡México no está bien! No sólo ha impactado a la sociedad el alza en la violencia y criminalidad que hoy deriva en fosas clandestinas y centros de exterminio, pero, independientemente de ello, ha sido más que claro que la economía en México está bastante mal; al grado de que se recomienda a las familias mexicanas «discreción en sus gastos», toda vez que se avecina una fuerte recesión y, ¡cómo no!, si durante el sexenio pasado se dedicaron las autoridade",pipeline_yes,1,1,1,946,1,
3,160,Peru,"Arequipa, Tacna, Cusco",2020-02-17,spa,https://elpueblo.com.pe/alcaldes-recibieron-capacitacion-para-afrontar-contingencias-por-lluvias/,elpueblo.com.pe,Alcaldes recibieron capacitación para afrontar contingencias por lluvias - El Pueblo,"Alcaldes recibieron capacitación para afrontar contingencias por lluvias
Como la mayoría de los alcaldes afrontarán su primer período de lluvias en la siguiente temporada, el Centro de Operaciones de Emergencia Regional (Coer), del Gobierno Regional de Arequipa, los reunió para capacitarlos sobre cómo trabajar en el tema de prevención.
Se reunió básicamente a los alcaldes, 33 representantes de los distritos y provincias de Arequipa, Caylloma, Castilla, La Unión y Condesuyos, declarados en estado",pipeline_yes,1,2,1,302,1,
4,152,Bolivia (Plurinational State of),"El Torno, Santa Cruz de la Sierra municipalities (Santa Cruz Department)",2023-03-21,spa,https://lavozdetarija.com/2022/01/18/aduana-nacional-incauta-30-kilos-de-cocaina-disfrazada-de-regalos/,lavozdetarija.com,Aduana Nacional incauta 30 kilos de cocaína ‘disfrazada de regalos’ | La Voz de Tarija,"Un total de 12 ladrillos de cocaína cristalizada, cada uno de 2,5 kilogramos, fueron descubiertos en un camión Nissan Cóndor que fue interceptado por técnicos de la Aduana Nacional de Bolivia (ANB) en el Punto de Inspección Aduanera (PIA) de Abapó, a 123 kilómetros de la ciudad de Santa Cruz.
Según información de la ANB, el camión se dirigía a la ciudad de Santa Cruz, proveniente del sur del país y fue interceptado gracias a una denuncia anónima atendida por los técnicos de turno en el PIA Abapó",pipeline_no,1,0,1,283,0,
5,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://www.gp1.com.br/brasil/noticia/2025/3/21/bolsonaro-sobre-voto-de-moraes-para-condenar-mulher-que-pichou-estatua-do-stf-desumano-590403.html,gp1.com.br,"Bolsonaro sobre voto de Moraes para condenar mulher que pichou estátua do STF: ""desumano"" - GP1","O ex-presidente Jair Bolsonaro (PL) usou suas redes sociais para apoiar Débora Rodrigues dos Santos, acusada de pichar a estátua da Justiça em frente ao Supremo Tribunal Federal (STF) durante os atos do 8 de janeiro de 2023. No vídeo publicado na tarde desta sexta-feira (21), Bolsonaro expressou seu descontentamento com o julgamento de Débora, pela Primeira Turma do STF.
Bolsonaro criticou a postura do ministro Alexandre de Moraes, relator do caso, que foi o primeiro a votar pela condenação de D",pipeline_yes,1,0,1,406,1,
6,101,Colombia,Ibagué City (central Tolima Departement),2021-09-22,spa,https://www.lasillavacia.com/historias/historia-academica/mosquera-y-el-vaticanito-muestran-que-el-pais-tiene-menos-embarazos-en-adolescentes/,lasillavacia.com,"Mosquera y ""el Vaticanito"" muestran que el país tiene menos embarazos en adolescentes","La hazaña que ha pasado baja el radar pasa por funcionarias estrella y políticos que han adaptado a lo local medidas que vienen de los Gobiernos Uribe y Santos.
Yira Blanco y Ángela Agudelo. Foto: Manuela Galvis
Colombia ha logrado una hazaña en los últimos 15 años, que ha pasado bajo el radar, pero que tiene un impacto sobre el futuro de miles de mujeres: cada vez son menos los embarazos en niñas y en adolescentes.
Es el resultado en gran parte del esfuerzo de funcionarios quijotescos, de una c",pipeline_no,1,1,1,5448,0,
7,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://www.gazetaweb.com/noticias/brasil/turista-reage-a-assalto-e-acaba-baleado-ao-embarcar-em-cruzeiro-no-rio-811601,gazetaweb.com,Turista reage a assalto e acaba baleado ao embarcar em cruzeiro no Rio,"Um turista que foi passar a lua de mel na capital fluminenses teve a viagem frustrada após ser baleado na zona portuário do Rio. O engenheiro civil Vinícius Cardozo Moreira Dias reagiu a um assalto no momento em que embarcava em um cruzeiro. Ele foi abordado por um criminoso em uma moto, nas proximidades do Armazém 4, no centro, nesse domingo (6/4).
Segundo informações da Polícia Militar, o bandido tentou roubar o colar de ouro de Vinícius, que reagiu. Houve luta corporal e o criminoso atirou, a",pipeline_yes,1,1,1,235,1,
8,81,Colombia,"Arauca, Caqueta, Choco, Putumayo, Vichada",2025-06-01,spa,https://www.elcolombiano.com/antioquia/entrevista-julieta-lemaitre-jep-secuestros-antioquia-farc-DM27814777,elcolombiano.com,"¿Por qué será histórica la audiencia de los exjefes de las extintas Farc en Caicedo, Antioquia?","El próximo martes 24 de junio tendrá lugar en Caicedo un momento fundamental en el largo proceso de búsqueda de justicia, verdad, reparación y no repetición que buscan las víctimas del conflicto armado en Antioquia, Córdoba, Caldas, Risaralda y Chocó.
En el municipio del Occidente antioqueño, siete exmandos del Bloque Norrocidental de las extintas Farc reconocerán en audiencia pública su responsabilidad en los atroces secuestros, toma de rehenes y privaciones de la libertad que cometieron en el ",pipeline_no,1,4,1,1370,0,
9,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://bhaz.com.br/noticias/minas-254-municipios-alerta-baixa-umidade/,bhaz.com.br,Minas tem 254 municípios em estado de alerta por baixa umidade,"Uma massa de ar seco avança sobre Minas Gerais neste sábado (22), afetando 254 municípios, com a umidade do ar podendo atingir níveis críticos de até 20%. Segundo a Organização Mundial da Saúde (OMS), o ideal é que a umidade do ar se mantenha em torno dos 60%.
Neste sábado (22), o Instituto Nacional de Meteorologia (Inmet) emitiu um alerta amarelo para essas cidades, válido até às 19h. O aviso abrange parte da região metropolitana de BH e as regiões Central, Triângulo Mineiro, Alto Paranaíba, Su",pipeline_yes,5,0,1,594,1,
10,160,Peru,"Arequipa, Tacna, Cusco",2020-02-17,spa,https://elpueblo.com.pe/municipio-alista-paquete-de-obras-por-500-millones-de-soles/,elpueblo.com.pe,Municipio alista paquete de obras por 500 millones de soles - El Pueblo,"Municipio alista paquete de obras por 500 millones de soles
El Municipio Provincial de Arequipa alista un paquete de obras por 500 millones de soles, confirmó el gerente de Desarrollo Urbano, César Berríos Claverías. Por esta razón es que vienen elaborando expedientes técnicos para solicitar los recursos y ejecutar las obras.
El funcionario señaló que algunas de estas obras ya se han iniciado, como el eje vial de las calles Jerusalén y San Juan de Dios; las obras de mejoramiento de vías en la ur",pipeline_no,2,0,1,518,0,
11,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://www.opovo.com.br/noticias/mundo/2014/09/socorristas-do-11-de-setembro-sentem-se-esquecidos.html,opovo.com.br,Socorristas do 11 de Setembro sentem-se esquecidos,"Socorristas do 11 de Setembro sentem-se esquecidos
Passados treze anos dos atentados, integrantes das equipes de resgate ainda lutam para receber assistência. Após serem atingidos por escombros ou respirarem gases tóxicos, muitos convivem com graves sequelas.
""Novamente, ocorreram alguns suicídios"", disse John Feal ao final de um pequeno evento realizado no início deste mês diante de um memorial aos integrantes das equipes de resgate do 11 de Setembro em Nesconset, a uma hora de Manhattan. ""Se v",pipeline_yes,1,3,1,873,1,
12,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://www.ibahia.com/diversao/nem-te-conto/saiba-qual-cirurgia-marcia-fu-fara-para-tratar-dor-que-causou-desmaio-323288,ibahia.com,Saiba qual cirurgia Márcia Fu fará para tratar dor que causou desmaio,"A ex-atleta de vôlei e estrela da TV, Márcia Fu, 55 anos, vai precisar passar por uma infiltração na coluna após ter sido encontrada desmaiada dentro da própria casa, em São Paulo na segunda (29).
Ela sofre com três hérnias de disco, além de complicações na coluna. Os sintomas mais comuns da hérnia de disco conta com perda de força, dor intensa, formigamento, alterações de sensibilidade e mais.
Leia também:
Conforme apuração do iBahia, a ex-participante de ""A Fazenda"" segue em repouso para a rea",pipeline_yes,1,0,1,189,1,
13,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://www.gazetaweb.com/noticias/brasil/em-ato-bolsonaro-fala-em-ajuda-internacional-e-tse-isento-para-2026-811569,gazetaweb.com,"Em ato, Bolsonaro fala em ajuda internacional e TSE 'isento' para 2026","Em seu discurso no ato pela anistia aos envolvidos no 8 de Janeiro, na Avenida Paulista, o ex-presidente Jair Bolsonaro (PL) afirmou, neste domingo (6), que tem esperança em uma ajuda internacional e na mudança da composição do Tribunal Superior Eleitoral (TSE) para reverter sua inelegibilidade e poder disputar a eleição presidencial em 2026.
Bolsonaro criticou decisões tomadas pelo TSE durante as eleições de 2022, dizendo ter sido ele vítima de golpe do Judiciário para favorecer o presidente Lu",pipeline_yes,1,1,2,334,1,
14,151,Panama,"Changuinola, Almirante, Chiriquí Grande (Bocas del Toro Province); Chiriquí, and Nabe-Buglé",2021-07-22,spa,https://www.miambiente.gob.pa/decomisan-equipo-de-tala-sin-permiso-en-montana-de-chame/,miambiente.gob.pa,"DECOMISAN EQUIPO DE TALA SIN PERMISO, EN MONTAÑA DE CHAME. – MiAmbiente","Colaboradores de la Regional de MiAmbiente de Panamá Oeste, encabezados por la Directora Regional Marisol Ayola, sorprenden a moradores en plena actividad de tala y procesando madera sin los permisos correspondiente, en la comunidad de Bajo del Rio en la cabecera del Río Chame.
La acción formó parte de un monitoreo de rutina a las diversas cuencas hidrográficas del área, realizado por técnicos de la institución, cuando alertados por el sonido del motor de la máquina, logran ubicar el área y lueg",pipeline_no,1,1,1,296,0,
15,82,Mexico,La Martinica (Jalisco State),2025-07-15,spa,https://unomasuno.com.mx/nacional/grupos-buscadores-acusan-omisiones-en-jalisco-ante-casos-de-desaparecidos/,unomasuno.com.mx,Grupos buscadores acusan omisiones en Jalisco ante casos de desaparecidos,"En medio del dolor por encontrar a sus personas desaparecidas, grupos de buscadores vuelven a alzar la voz en una mesa de trabajo organizada por la Comisión de Personas Desaparecidas del Congreso local de Jalisco. Integrantes de diversos colectivos denunciaron la inacción, negligencia y revictimización sistemática por parte de las autoridades encargadas de investigar los casos de desaparición en el estado.",pipeline_yes,1,1,1,61,1,
16,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,http://www2.cemaden.gov.br/escola-do-bairro-cota-200-em-cubatao-adere-ao-projeto-de-monitoramento-das-chuvas-e-do-risco-de-deslizamentos/,www2.cemaden.gov.br,"Escola do Bairro Cota 200, em Cubatão, adere ao projeto de monitoramento das chuvas e do risco de deslizamentos – Cemaden","As oficinas sobre Monitoramento de Deslizamentos, realizadas pelo Centro Nacional de Monitoramento e Alertas de Desastres Naturais (Cemaden) – coordenadas por pesquisadores do Programa RedeGeo e do Cemaden Educação- contaram com a parceria da Defesa Civil de Cubatão e apoio da direção e professores da Escola Estadual Maria Helena Duarte Caetano, do Bairro Cota 200 , em Cubatão, município paulista da Baixada Santista. Duas oficinas sobre Monitoramento de Deslizamentos foram realizadas para cerca ",pipeline_yes,8,0,1,1199,1,
17,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://folhams.com.br/2024/05/08/lula-anuncia-investimentos-de-r-183-bilhoes-em-obras-do-pac-e-inclui-prevencao-de-desastres/amp/,folhams.com.br,"Lula anuncia investimentos de R$ 18,3 bilhões em obras do PAC e inclui prevenção de desastres | Folha MS","Brasília (DF)- Em um pronunciamento realizado nesta quarta-feira (8), o presidente Luiz Inácio Lula da Silva revelou a destinação de R$ 18,3 bilhões para novas obras do Programa de Aceleração do Crescimento (PAC), incluindo um aporte de R$ 1,7 bilhão voltado para a prevenção de desastres. Esse anúncio ganha relevância diante das recentes enchentes que assolam o estado do Rio Grande do Sul desde o final de abril.
A iniciativa contempla a realização de obras de contenção de encostas em 91 municípi",pipeline_yes,2,0,1,345,1,
18,43,,,,eng,"https://www.hillcountrynews.com/stories/us-labor-unions-are-having-a-moment,90746?",hillcountrynews.com,US labor unions are having a moment | Hill Country News,"U.S. organized labor is having a moment after decades of erosion in both influence and power, giving workers their best chance in recent memory to claw back lost ground.
In an effort to improve our website and enhance our local coverage, HillCountryNews.com has switched to a membership model. Fill out the form below to create a free account. Once you're logged in, you can continue using the site as normal. You should remain logged in on your computer or device as long as you don’t clear your bro",pipeline_no,1,0,1,89,0,
19,207,United States of America,El Paso (Texas); Gila Bend (Arizona),2021-08-10,eng,https://www.wunc.org/2013-06-24/op-ed-emerging-labor-movement-is-a-presidential-opportunity,wunc.org,Op-Ed: Emerging Labor Movement Is A Presidential Opportunity | WUNC,"NEAL CONAN, HOST:
And now, time for the Opinion Page. There's a new kind of labor movement in the United States led by those who are not in unions, primarily retail and fast-food workers. These workers are protesting before they unionize. And in a column for the Chicago Tribune, columnist Clarence Page compares this new labor movement to Occupy Wall Street.
If you work in the fast-food industry, if you own a fast-food franchise, what would a change in the minimum wage law mean for you? 800-989-8",pipeline_no,1,1,4,3042,0,
20,79,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",2025-04-03,por,https://www.ibahia.com/diversao/musica/filho-de-roberto-carlos-lanca-dvd-com-musicas-do-pai,ibahia.com,Filho de Roberto Carlos lança DVD com músicas do pai,"Como deixar clássicos de Roberto Carlos com cara de novidade? Afastar-se daqueles acordes românticos e apostar numa pegada mais rock and roll seria a grande sacada, pensou e arriscou Dudu Braga. O resultado dessa reviravolta musical está no CD e DVD “RC na Veia”, o primeiro da banda homônima, que tem o primogênito do Rei como seu baterista.
— Eu queria fazer uma “releitura virgem” da obra do meu pai. E convidei músicos que não fossem muito chegados a ele, para não serem influenciados pelo própri",pipeline_yes,1,0,2,794,1,
